"";"DAYS";"4";"5";"6";"7";"8";"9";"10";"11";"12";"13";"14";"15";"16";"17";"18";"20";"22";"24";"26";"28";"30";"32";"35";"38";"42";"45";"48";"total"
"61";"E9";0;0;0;6;9;17;17;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;20
"62";"E10";0;0;0;1;7;15;17;17;17;17;17;17;17;18;18;18;18;18;18;18;18;18;18;18;18;18;18;20
"63";"E11";0;0;0;0;0;11;13;16;18;18;18;18;18;18;18;18;19;19;19;19;19;19;19;19;19;19;19;20
"64";"E12";0;0;0;0;0;6;11;16;16;16;16;16;16;16;16;17;17;17;18;18;18;18;18;18;18;18;18;20
"65";"E13";0;0;0;0;0;2;3;9;11;15;15;15;15;16;16;16;16;16;16;16;16;16;16;16;16;16;16;20
"66";"F1";0;0;0;0;0;2;2;3;5;5;6;6;6;6;6;7;8;9;9;9;9;9;10;10;10;10;10;18
"67";"F2";0;1;4;4;4;5;5;6;7;7;7;8;8;8;9;10;10;12;14;15;15;15;15;17;17;17;17;20
"68";"F3";0;5;11;12;12;13;13;13;14;14;15;15;16;16;16;17;17;17;17;17;17;17;17;17;17;18;18;20
"69";"F4";1;7;12;13;13;15;15;15;15;15;16;16;16;16;17;17;17;17;17;17;17;17;18;18;18;18;18;18
"70";"F5";3;4;11;14;14;16;16;16;16;17;18;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19
"71";"F6";0;4;9;11;11;11;12;13;13;13;13;13;13;13;14;14;14;14;14;14;14;14;14;14;14;14;14;18
"72";"F7";2;4;8;14;15;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;17;18;18;21
"73";"F8";0;1;5;11;11;12;12;14;14;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;18;18;18;20
"74";"F9";0;0;2;8;12;15;16;16;17;17;17;17;17;17;17;17;17;18;18;18;18;18;18;18;18;18;18;20
"75";"F10";0;0;0;7;10;14;14;14;15;15;15;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;19
"76";"F11";0;0;0;0;9;14;17;17;17;17;17;18;18;19;19;19;19;19;19;19;19;19;19;19;19;19;19;20
"77";"F12";0;0;0;1;7;11;13;14;14;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;17;21
"78";"F13";0;0;0;0;0;8;13;16;16;16;16;16;17;17;17;17;18;18;18;19;19;19;19;19;19;19;19;20
"79";"G1";0;0;0;0;0;1;1;4;5;5;6;6;6;7;7;9;9;9;9;9;9;11;11;11;13;13;14;19
